,level_0,index,Unnamed: 0,Text,Label
14,14,14,14,El secretario general de la Conferencia Episcopal Española  le pide a Isabel Díaz Ayuso que se lea la carta del papa Francisco con motivo del bicentenario de la declaración de Independencia de Mexico antes de criticarla  ,0
15,15,15,15,Draghi y Johnson se comprometen con los jóvenes activistas en la PreCOP 26   ,0
16,16,16,16,Madrid y Valencia en terminos absolutos junto a Alicante y Las Palmas en terminos relativos son entre las grandes ciudades españolas las que más han reducido su deuda respecto al pasado año según el Banco de España  ,0
17,17,17,17,El euríbor cambia la tendencia en septiembre y sube por primera vez en tres meses  ,0
18,18,18,18,La vuelta de Pau Torres Pedri y Oyarzabal la incorporación de Pedro Porro y Marcos Alonso y las de los jóvenes Gavi y Yeremy Pino son las siete novedades de la lista de Luis Enrique para la fase final de la Liga de Naciones UEFANationsLeague  ,0
19,19,19,19,Residente critica la llamada de J Balvin al boicot de los Latin Grammy   ,0
20,20,20,20,Nueva revolución de Luis Enrique con Gavi y Yeremy Pino,0
21,21,21,21,  Marthe Wandou la camerunesa que sana a mujeres traumatizadas por Boko Haram    ,0
22,22,22,22,  El padre de la antorcha de Barcelona 92 el diseñador Andre Ricard recuerda hoy un camino en el que el equipo organizador logró romper la cultura olímpica  Por Laura Zornoza ,0
23,23,23,23,  Luis Piedrahita Es muy triste que el cómico tenga que explicar un chiste  Por Carmen Martin  ,0
24,24,24,24,  Duato se atreve con El lago de los cisnes en San Petersburgo  Por Ignacio Ortega  ,0
25,25,25,25,Más de un centenar de trenes que debían cumplir los servicios mínimos en la huelga de maquinistas de Renfe no han circulado en Rodalies de Cataluña y en Cercanías de Valencia en las primeras horas de la protesta que ha empezado esta medianoche  ,0
26,26,26,26,La tasa de desempleo de la eurozona descendió una decima porcentual en agosto con respecto a julio y se situó en el 75  durante el octavo mes del año mientras que en el conjunto de la UE tambien disminuyó una decima hasta el 68  según Eurostat  ,0
27,27,27,27,  Repensar la obra de Quino con esta intención su sobrina Julieta Colombo explica por que para conmemorar el primer año sin este analista de la condición humana no será Mafalda la protagonista sino sus viejitos criticones y guerreros  ,0
28,28,28,28,El paro cae una decima en la eurozona en agosto hasta el 75,0
29,29,29,29,  Sin tiempo para morir el Bond más esperado y el adiós de Daniel Craig   Por Paula Escalada Medrano    ,0
30,30,30,30,El expresidente frances Nicolas Sarkozy fue considerado este jueves culpable de financiación ilegal de su campaña de 2012 siete meses despues de haber sido condenado por corrupción y tráfico de influencias  ,0
31,31,31,31,  Sarkozy condenado por segunda vez desde su salida del Elíseo ,0
32,32,32,32,  Far Cry 6 agita este octubre el mercado del videojuego junto al FIFA 22  Por Javier López  ,0
33,33,33,33,  Marcel Barrena Cada vida cuenta no se pueden perder en el mar  Por Silvia García Herráez   ,0
34,34,34,34,  Poeta y profesor Enrique GarcíaMáiquez publica artículos a diario y ahora una antología periodística El burro flautista  Por Alfredo Valenzuela ,0
35,35,35,35,El primer tratamiento de inmunoterapia para el subtipo de cáncer de pulmón más agresivo el microcítico llega a la sanidad pública despues de 30 años sin avances terapeuticos  ,0
36,36,36,36,La deuda pública española marcó un nuevo record en el segundo trimestre al situarse en 1424692 millones de euros una cifra que equivale al 1228  del PIB según los datos publicados este jueves por el Banco de España  ,0
37,37,37,37,a deuda pública española marca record de 142 billones en el segundo trimestre,0
38,38,38,38,El Consejo de Europa urge a las autoridades españolas a reformar el sistema de elección de los miembros del Consejo General del Poder Judicial dada la politización que se percibe en esa institución  ,0
39,39,39,39,El Consejo de Europa urge a España a despolitizar el CGPJ,0
40,40,40,40,Las ventas del comercio minorista en agosto apenas experimentaron variación con respecto al mismo mes de 2020 con un retroceso del 01  según el Instituto Nacional de Estadística INE  ,0
41,41,41,41,rupción del volcán en La Palma   Toda la información en Efeservicios,0
42,42,42,42,La tasa de ahorro de los hogares se situó en el 88  de la renta disponible en el segundo trimestre del año moderándose así respecto al 14  del trimestre anterior y muy por debajo del 223  el máximo que llegó a alcanzar un año antes  ,0
43,43,43,43,Naturgy ha advertido de que el consejo de administración de la energetica no ha considerado en ningún momento revisar los principios del plan estrategico aprobado en julio para 5 años y de que cualquier cambio requiere de una mayoría reforzada  ,0
44,44,44,44,El ahorro de los hogares españoles se modera al 88  en el segundo trimestre,0
45,45,45,45,  Dice Kiki Morente que nunca dejará de aprender de Enrique Morente su padre razón quizás por la que el joven cantaor granadino ha apostado en su segundo álbum por aventurarse en la experimentación con el flamenco como barro  ,0
46,46,46,46,Naturgy recuerda a IFM que cambiar el plan estrategico exige mayoría reforzada,0
47,47,47,47,  Dyangani Ose propone desbordar el canon artístico en la colección MACBA  Por Jose Oliva  e Irene Dalmases  ,0
48,48,48,48,Continúa sin cambios sustanciales la erupción del volcán de La Palma desde la llegada de la lava al mar aunque algunos vecinos podrán regresar a recoger enseres    ,0
49,49,49,49,Sesión plenaria del Congreso de los Diputados,0
50,50,50,50,Los servicios mínimos decretados ante la huelga convocada en Renfe por el sindicato Semaf que suponían el 85  de los trenes programados habitualmente no se están cumpliendo en Cataluña porque algunos maquinistas no se han presentado a trabajar  ,0
51,51,51,51,El precio de la electricidad en el mercado mayorista pool despide septiembre este jueves con una leve caída del 004  hasta situarse en 18983 euros el megavatio hora MWh en lo que representa el segundo precio más alto de la serie histórica ,0
52,52,52,52,Este jueves arranca la primera jornada de la huelga de ocho días convocada en Renfe por el Sindicato Español de Maquinistas y Ayudantes Ferroviarios Semaf para los días 30 de septiembre y 1 4 5 7 8 11 y 12 de octubre ,0
53,53,53,53,rupción del volcán en La Palma  Toda la información en Efeservicios,0
54,54,54,54,  02 Bruno Henrique pone a Flamengo en la final de la Copa Libertadores Libertadores    ,0
55,55,55,55,rupción del volcán en La Palma  Toda la información en Efeservicios,0
56,56,56,56,El presidente de Ecuador Guillermo Lasso informó este miercoles que se contabilizan ya 116 reos fallecidos y 80 más heridos tras un enfrentamiento de presos en la Cárcel Número 1 de Guayaquil conocida tambien como Penitenciaría del Litoral  ,0
57,57,57,57,El delantero argentino Tomás Cuello con un doblete y Arthur fueron los verdugos del paraguayo Libertad que acusó los dos goles en contra encajados en la ida y sucumbió por 13 ante el letal contragolpe de los brasileños   ,0
58,58,58,58,La decisión de la jueza Brenda Penny supone una victoria para la artista quien en junio se pronunció por primera vez en contra de su progenitor aunque la tutela se mantendrá a cargo de un funcionario del estado de California con carácter temporal  ,0
59,59,59,59,  Te contamos en 60 segundos cómo transcurrió el 29 de septiembre en America  Toda la información en Efeservicios  ,0
60,60,60,60,El presidente ecuatoriano Guillermo Lasso declaró un estado de excepción en todo el sistema penitenciario tras la masacre que dejó más de 100 muertos registrada este martes en la Cárcel Número 1 de la ciudad de Guayaquil ,0
61,61,61,61,El ministro argelino de Asuntos Exteriores Ramtane Lamamra celebró hoy la decisión del Tribunal General de la Unión Europea de anular los acuerdos pesquero y agrícola entre la Unión Europea y Marruecos que incluyen el Sáhara Occidental   ,0
62,62,62,62,El líder norcoreano Kim Jongun anunció ante el parlamento que las comunicaciones con Corea del Sur rotas desde agosto quedarán restablecidas a principio de octubre  ,0
63,63,63,63,Para fortalecer su oferta turística Colombia presentó Narrativas Regionales del Turismo una iniciativa con la que espera impulsar la promoción de sus destinos así como resaltar la diversidad y la riqueza natural y cultural de sus regiones ,0
64,64,64,64,La Cámara de Representantes de EEUU de mayoría demócrata aprobó un proyecto de ley para suspender el techo de endeudamiento y evitar que el país incurra en una suspensión de pagos de la deuda nacional el 18 de octubre ,0
65,65,65,65,Brasil uno de los países más castigados por la pandemia de la covid19 registró en las últimas 24 horas 676 nuevas muertes por coronavirus y 17756 nuevos contagios con lo que ya superó las 596000 víctimas y roza los 214 millones de casos ,0
66,66,66,66,El presidente de Ecuador Guillermo Lasso declaró este miercoles un estado de excepción por 60 días en todo el sistema penitenciario de su país tras la masacre de más de cien reos que murieron en medio de un motín en la Cárcel Número 1 de Guayaquil  ,0
67,67,67,67,El padre de Britney Spears deja de ser su tutor legal,0
68,68,68,68,Ayuso ha añadido que las políticas de su Ejecutivo han colocado a Madrid en una posición privilegiada al ser un ejemplo a seguir fuera de España por cómo se ha gestionado la pandemia  ,0
69,69,69,69,Elizabeth MacDonough la encargada de interpretar el reglamento del Senado de EEUU asestó un nuevo golpe al plan migratorio de Biden al determinar que los demócratas no pueden usar una maniobra legislativa para aprobarlo ,0
70,70,70,70,La Justicia de Perú comenzará el próximo 21 de octubre el control de la acusación por presunta corrupción contra el expresidente Alejandro Toledo quien se encuentra actualmente en proceso de extradición desde EEUU ,0
71,71,71,71,EEUU y la Unión Europea inauguraron la primera ronda del Consejo de Comercio y Tecnología bilateral la reunión inicial tras las tensiones desatadas por la alianza de defensa del Indopacífico y con la idea de consolidar un frente común ante China ,0
72,72,72,72,La Comisión de Fiscalización del Parlamento de Ecuador informó que ha llamado al expresidente Lenín Moreno a comparecer para dar su versión sobre supuestos bienes recibidos cuando se desempeñó como delegado ante la ONU en Ginebra ,0
73,73,73,73,El Parlamento de Barbados votó por un margen de 250 enmendar la Constitución para poner fin a la asociación del país con la Corona británica y dar a la isla el estatus de República con una posible entrada en vigor el 30 de noviembre ,0
74,74,74,74,Un grupo de expertos puesto en marcha por la ONU reclamó a los gobiernos soluciones para los más de 55 millones de desplazados internos que hay en el mundo muchos de ellos atrapados en el limbo durante años y dependientes de la ayuda humanitaria ,0
75,75,75,75,yuso anuncia que el 4 de octubre se eliminarán las restricciones de aforo,0
76,76,76,76,  Alejandro Toledo defiende su inocencia y asegura que su lucha no cesará   Por Elías Levy y Marc Arcas ,0
77,77,77,77,  Irse o quedarse Sube la tensión entre los migrantes en la frontera colombopanameña   Por Irene Escudero  ,0
78,78,78,78,Uno de los 43 inmigrantes rescatados hoy por Salvamento Marítimo en las costas del sur de Alicante tiene movilidad reducida y llevaba una silla de ruedas a bordo de la patera en la que ha sido interceptado  ,0
79,79,79,79,rupción del volcán en La Palma  Toda la información en Efeservicios,0
80,80,80,80,La Organización Panamericana de la Salud anunció que alcanzó un acuerdo con la farmaceutica china Sinovac para comercializar en el continente americano unos 85 millones de dosis contra covid19 este año a traves de su fondo rotatorio de venta de vacunas ,0
81,81,81,81,En 2001 el cantante británico David Bowie grabó su disco Toy Juguete pero nunca llegó a publicarse hasta ahora que veinte años despues verá a luz de forma oficial el próximo 26 de noviembre  ,0
82,82,82,82,  Buenos Aires el lienzo infinito del arte urbano ,0
83,83,83,83,  El cantante Miguel Ríos cree que con la asimilación de la pandemia y el proceso de vacunación la población ha dado muestra de su altura como sociedad  ,0
84,84,84,84,El juez de la Audiencia Nacional Ismael Moreno investiga el asesinato de los dos periodistas españoles David Beriáin y Roberto Fraile el pasado mes de abril en Burkina Faso durante una emboscada cuando rodaban un documental sobre caza furtiva  ,0
85,85,85,85,El exfutbolista brasileño Edson Arantes do Nascimento Pele está próximo a dejar el hospital donde se encuentra ingresado desde el pasado 31 de agosto tras la extracción de un tumor en el colon según informó su hija Kely ,0
86,86,86,86,Antonio Gasset mítico presentador del programa Días de cine que dirigió durante más de diez años en TVE ha fallecido hoy a los 75 años  ,0
87,87,87,87,  Los secretos de Disney detrás del realismo mágico de Encanto  Por   ,0
88,88,88,88,  Buenos Aires el lienzo infinito del arte urbano  Por Julieta Barrera  Juan Ignacio Roncoroni  ,0
89,89,89,89,rupción del volcán en La Palma  Toda la información en Efeservicios,0
90,90,90,90,El Gobierno de Estados Unidos propuso este miercoles la declaración de extinción de 23 especies animales entre ellos el pájaro carpintero de pico de marfil de la que responsabilizó al cambio climático y la desaparición de sus hábitat naturales  ,0
91,91,91,91,El Ministerio de Sanidad ha notificado este miercoles 39 fallecimientos por covid en las últimas 24 horas la cifra más baja desde finales de julio y un ligero descenso de la incidencia de casi 2 puntos con lo que la transmisión se sitúa en 606  ,0
92,92,92,92,  Atraer cadenas de valor a Latinoamerica y aumento de capital metas del BID   Por Alfonso Fernández ,0
93,93,93,93,Un grupo de hospitales despidió a 175 empleados por no querer vacunarse contra la covid19 en Carolina del Norte EEUU informó este martes Novant Health que gestiona 15 centros sanitarios en ese estado con más de 2300 medicos  ,0
94,94,94,94,El rey ha pedido este miercoles defender los derechos libertades y convivencia conseguidos en democracia frente a cualquier amenaza que pueda poner en riesgo esas conquistas  ,0
95,95,95,95,En plena crisis y sin un panorama alentador próximo los migrantes que llevan ya varios meses varados en la ciudad de Tijuana hoy se enfrentan a otra preocupación la creciente violencia que azota esta frontera mexicana ,0
96,96,96,96,Sanidad reporta 39 muertes en 24 horas la cifra más baja desde fin de julio en España,0
97,97,97,97,rupción del volcán en La Palma   Toda la información en Efeservicios,0
98,98,98,98,El titular del Juzgado de Instrucción número 8 de A Coruña ha decretado este miercoles la prisión provisional comunicada y sin fianza para el septimo detenido por la paliza que acabó con la vida de Samuel Luiz el 3 de julio  ,0
99,99,99,99,El primer ministro italiano Mario Draghi afirmó hoy que no ha habido ninguna participación del Gobierno italiano ni ninguna comunicación con el Gobierno español en relación al arresto en Cerdeña de Puigdemont  ,0
100,100,100,100,United Airlines una de las mayores aerolíneas estadounidenses divulgó que va a despedir de la empresa a casi 600 trabajadores que han decidido no vacunarse según su política contra la covid19 una de las más estrictas entre las empresas del país ,0
101,101,101,101,La Policía Nacional ha detenido a un enfermero que se encargaba de realizar las pruebas al personal de la Universidad Carlos III de Madrid por grabar las partes íntimas de sus pacientes  ,0
102,102,102,102,  Covid19 Imágenes de una crisis en el mundo 29 de septiembre   En EFE te resumimos las imágenes más destacadas del día en todo el planeta sobre la crisis del coronavirus  Toda la información en Efeservicios  ,0
103,103,103,103,La columna de vapor de agua y gases posiblemente tóxicos que ha producido la lava del volcán de La Palma al llegar al mar se circunscribe de momento a la zona de contacto entre el magna y el oceano sin ningún tipo de afección entre la población  ,0
104,104,104,104,  La Madrid Cocktail Week permite comprobar cómo ahora los cócteles tienen menos azúcar y alcohol buscan contribuir a la sostenibilidad con ingredientes locales llevan el sello de su autor y acompañan a cualquier plato  Por   ,0
105,105,105,105,  El arte de Van Gogh era democrático y ahí reside su exito Pintaba objetos que todos tenemos cerca no le interesaba la nobleza sino lo cotidiano explica su sobrino nieto V Willem van Gogh con motivo de una exposición en Madrid   ,0
106,106,106,106,El Comite Español de Representantes de Personas con Discapacidad CERMI ha instado al PP y a Vox a retirar las enmiendas a la totalidad que han registrado contra el proyecto de ley para reformar la Constitución y borrar el termino disminuidos  ,0
107,107,107,107,Las comunidades autónomas recibirán más de 224 millones de euros para financiar distintos programas de cooperación territorial en materia de Formación Profesional de los que 45 serán para Andalucía 34 para Cataluña y 28 para la Comunidad Valenciana  ,0
108,108,108,108,Población envejecida huida de la joven al acabar la educación obligatoria escasez de servicios sanitarios y mucha soledad en los mayores es la radiografía que hace Cruz Roja sobre La vulnerabilidad social en el contexto de la España despoblada  ,0
109,109,109,109,Casado ha elogiado en la convención nacional del partido al PP madrileño desde la expresidenta Esperanza Aguirre al alcalde de Madrid Jose Luis MartínezAlmeida y ha excusado la ausencia de la presidenta de esta comunidad Isabel Díaz Ayuso  ,0
110,110,110,110,La compañía Titirimundi ha sido  galardonada con el Premio Nacional de Artes Escenicas para la Infancia y la Juventud por ser referente indiscutible del mundo del títere y del teatro para la infancia y la juventud  ,0
111,111,111,111,rupción del volcán en La Palma   Toda la información en Efeservicios,0
112,112,112,112,La elección del supermercado puede reportar un ahorro de 1073 euros al año  ,0
113,113,113,113,Grease 50 años de A uan ba buluba balam bambú   ,0
114,114,114,114,Sánchez destaca la determinación de los deportistas en la lucha contra la pobreza infantil   ,0
115,115,115,115,  Así entraba en el mar esta madrugada la lava del volcán de La Palma  Toda la información en Efeservicios  ,0
116,116,116,116,Ana Martín madre de la tonadillera Isabel Pantoja ha fallecido hoy despues de haber estado ingresada recientemente en el hospital de Puerto Real Cádiz ,0
117,117,117,117,Becky G Carlos Baute y Sara Baras actuarán en la gala de los VIII Premios Platino el 3 de octubre en Madrid  premiosPLATINO2021   ,0
118,118,118,118,Ana de Armas espectacular en el estreno de James Bond   ,0
119,119,119,119,Antonio Banderas compaginará Company con Indiana Jones y El Gato con Botas   ,0
120,120,120,120,La Audiencia Nacional revoca por un defecto de forma el archivo dictado por el juez Pedraz de una causa abierta al líder del Polisario Brahim Gali en relación a una querella de la Asociación Saharaui para la Defensa de los Derechos Humanos por genocidio  ,0
121,121,121,121,a Audiencia Nacional anula el archivo de una investigación de Pedraz sobre Gali,0
122,122,122,122,El precio medio de la electricidad en el mercado mayorista pool se ha situado para este jueves 30 de septiembre en 18983 euros el megavatio hora MWh lo que supone en torno a un 004  menos que el máximo que marca precisamente hoy 1899 euros  ,0
123,123,123,123,Las fuerzas y cuerpos de seguridad registraron durante el 2020 un total de 287963 ciberdelitos un 319 por ciento más que en 2019  El alza sostenida que ya se detectaba se disparóo por la pandemia en especial por fraudes y estafas en Internet  ,0
124,124,124,124,Escasa financiación poca autonomía para tomar decisiones y una elevada sobrecualificación problemas que se mantienen en la universidad española   ,0
125,125,125,125,rupción del volcán en La Palma  Toda la información en Efeservicios,0
126,126,126,126,Uno de cada cinco hombres de entre 15 y 29 años considera que la violencia de genero no existe y es solo un invento ideológico   La cifra se ha duplicado en los últimos cuatro años según la Fundación de Ayuda contra la Drogadicción   ,0
127,127,127,127,Continúa el descenso de loos casos globales de COVID19 En la semana del 20 al 26 de septiembre fueron 33 millones el 10  menos que la semana anterior  ,0
128,128,128,128,El límite de coste de plantilla deportiva del Barcelona ha sido recortado en más de un 70 por LaLiga al club azulgrana respecto al mercado de invierno de la temporada 202021 según los números que ha revelado este miercoles la asociación de clubes  ,0
129,129,129,129,Bruselas propone suspender los visados a los funcionarios de Bielorrusia,0
130,130,130,130,a Unión Europea y Marruecos anunciaron hoy que tomarán las medidas necesarias para asegurar el marco legal que garantice la continuación y estabilidad de sus relaciones comerciales,0
131,131,131,131,Rusia registra 857 muertes por coronavirus nuevo record en toda la pandemia    ,0
132,132,132,132, Sesión de Control al Gobierno en el Congreso ,0
133,133,133,133,La lava del volcán que hizo erupción en Cumbre Vieja en la isla de La Palma el pasado día 19 ha afectado a 744 edificaciones de las que 656 están destruidas según el último recuento del sistema de satelites europeo Copernicus  ,0
134,134,134,134,El Tribunal General de la Unión Europea estimó los recursos del Frente Polisario contra el acuerdo entre la UE y Marruecos que mantuvo preferencias arancelarias comunitarias a los productos de origen marroquí  ,0
135,135,135,135,El denominado Nobel alternativo que entrega la fundación sueca Right Livelihood distinguió este miercoles la lucha medioambiental y contra la violencia de genero premiando a activistas de Camerún Rusia India y Canadá  ,0
136,136,136,136,El Tribunal de la UE estima los recursos del Polisario contra los acuerdos de la UE y Marruecos,0
137,137,137,137,  Un arca de Noe bajo las cenizas  Por Jose María Rodríguez  ,0
138,138,138,138,El Govern de Quim Torra no tramitó ninguna de las actas administrativas levantadas por los Mossos en varias manifestaciones de distinto signo en 2020  Se interpusieron 1200 sanciones y no se inició un solo expediente sancionador  ,0
139,139,139,139,El Drogas sale fuerte de la pandemia nuevo librodisco y vinilo  Por Javier Rodrigo   ,0
140,140,140,140,El presidente del Gobierno Pedro Sánchez volverá a la isla de La Palma y dice que las administraciones trabajan para dar más ayudas cuanto antes   ,0
141,141,141,141,  La colada de lava del volcán de La Palma alcanzó el mar a media noche en una zona de acantilados del municipio de Tazacorte  Toda la información en Efeservicios  ,0
142,142,142,142,La lava del volcán de La Palma ha comenzado a formar un delta en la costa de Tazacorte que poco a poco gana terreno al mar ha avanzado el Instituto Español de Oceanografía IEO   ,0
143,143,143,143,  Imanol Arias Ahora lo que quiero hacer son obras de teatro  Por Paula Escalada Medrano    ,0
144,144,144,144,Pedro Sánchez defiende en el Congreso la política útil de su ejecutivo frente a la bronca los insultos y los gritos del PP  ,0
145,145,145,145,El exministro japones de Exteriores y Defensa Fumio Kishida se impuso hoy en las primarias del gobernante Partido Liberal Democrático PLD y será nombrado primer ministro y candidato para las elecciones generales de los próximos meses  ,0
146,146,146,146,Sesión de Control al Gobierno en el Congreso,0
147,147,147,147,El Ministerio de Sanidad y las comunidades autónomas han acordado este miercoles por unanimidad el fin de las restricciones de aforo en los estadios de fútbol que tendrán una ocupación del cien por cien a partir de este viernes  ,0
148,148,148,148,os estadios de fútbol podrán ocuparse al cien por cien en España desde el viernes,0
149,149,149,149,Los precios aceleraron su ascenso en septiembre con un repunte del 4  con respecto al mismo mes de 2020 la mayor tasa desde septiembre de 2008 debido principalmente al encarecimiento de la electricidad  ,0
150,150,150,150,os precios en España umentan un 4  en septiembre su máximo desde 2008,0
151,151,151,151,Nobel alternativo a activistas de Rusia Camerún India y Canadá,0
152,152,152,152,Fumio Kishida gana las primarias del PLD y será el primer ministro de Japón,0
153,153,153,153,El principal índice de la Bolsa de Tokio el Nikkei cayó hoy en torno a un 2  en la apertura de la sesión de este miercoles arrastrada por la jornada negra en Wall Street y las ventas de inversores que se han asegurado el cobro de dividendos  ,0
154,154,154,154,El Nikkei pierde un 212  a la espera de conocerse el nuevo líder de Japón,0
155,155,155,155,El fin de los aforos deportivos llega al Consejo Interterritorial de Salud    ,0
156,156,156,156,La Guardia Civil y Salvamento Marítimo han interceptado esta madrugada a 39 personas inmigrantes que iban a bordo de dos pateras detectadas en aguas al sur de Mallorca y otra que ha arribado a Formentera  ,0
157,157,157,157,La luz marca hoy su octavo record en septiembre en España y se paga a 1899 eurosMWh    ,0
158,158,158,158,rupción del volcán en La Palma   Toda la información en Efeservicios,0
159,159,159,159,  11 Ante el Atletico Mineiro el campeón Palmeiras avanza a su segunda final seguida en la Libertadores    ,0
160,160,160,160,Cientos de integrantes de organizaciones sociales y feministas se reunieron frente al Palacio de Justicia de Perú en el centro histórico de Lima para exigir que en su país se permita el aborto legal seguro y gratuito  ,0
161,161,161,161,El conflicto en Bolivia por la toma de la sede de Adepcoca cumplió una semana con enfrentamientos entre cocaleros que cuestionan a la nueva directiva entre el uso de explosivos y la respuesta policial con gases lacrimógenos ,0
162,162,162,162,Un motín registrado este martes en el Centro de Privación de Libertad Número 1 de la ciudad costera de Guayaquil Ecuador deja al menos 24 reos muertos y 49 más heridos durante un aparente enfrentamiento entre bandas que se disputan el control del penal ,0
163,163,163,163,Unas cien personas marcharon en Caracas para exigir la despenalización del aborto en Venezuela y exigir al Parlamento la promoción de una agenda legal cultural y social para debatir el tema  ,0
164,164,164,164,La oscuridad de la noche no permite ver las columnas de vapor de agua que supuestamente se han debido formar por el choque termico de la lava con el mar   ,0
165,165,165,165,  Te contamos en 60 segundos cómo transcurrió el 28 de septiembre en America  Toda la información en Efeservicios  ,0
166,166,166,166,La lava ha ido cayendo de forma lenta y lo único que se ha podido ver a lo lejos son piedras candentes que caen al mar  ,0
167,167,167,167,l menos 24 muertos y 49 heridos tras un motín en una cárcel de Ecuador,0
168,168,168,168,rupción del volcán en La Palma  Toda la información en Efeservicios,0
169,169,169,169,  La lava llega al mar en una zona de acantilados en la costa de Tazacorte   ,0
170,170,170,170,rupción del volcán en La Palma  Toda la información en Efeservicios,0
171,171,171,171,Con el visto bueno de la Justicia estadounidense dependerá ahora del secretario de Estado de EEUU Antony Blinken tomar la decisión final sobre si se extradita o no al exmandatario peruano tras un proceso que ha durado más de dos años  ,0
172,172,172,172,a bolsa de Sao Paulo se hunde un 3  lastrada por el mal humor externo,0
173,173,173,173,Justicia de EEUU resuelve que Alejandro Toledo puede ser extraditado a Perú,0
174,174,174,174,Andalucía volverá a la normalidad en todos los distritos sanitarios que esten en riesgo bajo o nivel cero en los que se eliminarán todas las limitaciones de horarios y aforos en la hostelería y el comercio  ,0
175,175,175,175,El Gobierno de Costa Rica anunció este martes que la vacuna contra la covid19 será obligatoria para todos los empleados públicos y además facultó a los patronos privados a exigirla a sus trabajadores  ,0
176,176,176,176,Los empleados de la embajada en Kabul así como el personal del Ministerio de Exteriores que estuvo directamente implicado en la operación de evacuación han sido condecorados este martes en un acto de homenaje a su labor  ,0
177,177,177,177,Mujeres de la Ciudad de Mexico convocan a una manifestación por el Día de Acción Global por un Aborto Legal y Seguro tras la decisión del Supremo de declarar inconstitucional su penalización un hecho sin precedentes en el país ,0
178,178,178,178,Amazon celebró este martes su tradicional evento otoñal de presentación de hardware en el que actualizó su línea Echo y mostró a un simpático y pequeño robot que se pasea libremente por la casa como si fuera un perro con una pantalla inteligente  ,0
179,179,179,179,rupción del volcán en La Palma   Toda la información en Efeservicios,0
180,180,180,180,Casi el 77  de los españoles ha completado el proceso de vacunación contra el coronavirus mientras que la campaña prosigue lentamente y con signos de estancamiento en las comunidades que han logrado superar el 80  de población con pauta completa  ,0
181,181,181,181,Mujeres de la Ciudad de Mexico convocan a una manifestación por el Día de Acción Global por un Aborto Legal y Seguro tras la decisión del Supremo de declarar inconstitucional su penalización un hecho sin precedentes en el país ,0
182,182,182,182,Dos de los generales de mayor rango de EEUU Mark Milley y Kenneth McKenzie reconocieron que aconsejaron al presidente estadounidense Joe Biden mantener un contingente de unos 2500 soldados en Afganistán   ,0
183,183,183,183,EFEFOTOS  Las coladas de lava del volcán de la Cumbre Vieja en la isla de La Palma siguen su descenso hacia el mar   Ángel Medina G  Toda la información en Efeservicios  ,0
184,184,184,184,Los malabarismos de los demócratas de EEUU para evitar que la Administración se quede sin fondos en la medianoche del jueves y para sacar adelante el plan de infraestructuras del presidente estadounidense Joe Biden  ,0
185,185,185,185,  America a fondo El exodo haitiano un recorrido por Latinoamerica   Toda la información en Efeservicios  ,0
186,186,186,186,El Congreso da este martes el primer paso para aprobar una Ley Integral sobre Salud Mental que plantea tiempos máximos de atención y un aumento significativo del número de profesionales una proposición impulsada por Unidas Podemos  ,0
